tract,Neighborhood,City,State,Teenage_Birth_Rate_women_only_rP_gF_pall,Income
24510090600,Coldstream - Homestead - Montebello, Baltimore, MD,0.3765,Middle
24510090200,Ednor Gardens - Lakeside, Baltimore, MD,0.3757,Middle
24510271102,Mid-Charles, Baltimore, MD,0.3691,Middle
24510260202,Parkside, Baltimore, MD,0.368,Middle
24510270802,Ramblewood, Baltimore, MD,0.3671,Middle
24510160100,Harlem Park, Baltimore, MD,0.3658,Middle
24510151200,Park Circle, Baltimore, MD,0.3639,Middle
24510280404,Irvington, Baltimore, MD,0.3601,Middle
24510120700,Remington, Baltimore, MD,0.3592,Middle
24510180100,Poppleton, Baltimore, MD,0.3588,Middle
24510210100,Pigtown, Baltimore, MD,0.3573,Middle
24510030200,Little Italy, Baltimore, MD,0.356,Middle
24510270902,Perring Loch, Baltimore, MD,0.3559,Middle
24510260604,O'Donnell Heights, Baltimore, MD,0.3529,Middle
24510090400,Better Waverly, Baltimore, MD,0.3506,Middle
